Date,Operation,Amount,Cryptocurrency,FIAT value,FIAT currency,Transaction ID,Withdrawal address,Reference
"2021-02-08T19:50:47+01:00","Staking reward","0.29836134","DFI","0.9831006153","USD","","","7aaf0836-37b6-4b07-838d-3eefe4bf07dc"
"2021-02-08T16:48:17+01:00","Staking reward","0.28540142","DFI","0.9391504746946","USD","","","12f548db-9526-4c2f-85cf-bc160da5945a"
"2021-02-08T13:46:15+01:00","Staking reward","0.28835244","DFI","0.8693826066","USD","","","76997e04-77b7-4a88-a811-86c8acba0463"
"2021-02-08T10:44:13+01:00","Staking reward","0.2813616","DFI","0.853732689264","USD","","","28ca046e-d737-45ef-bd57-7d4238c3542e"
"2021-02-08T07:42:08+01:00","Staking reward","0.02684289","DFI","0.0820780416108","USD","","","54ebf57d-ebcd-4d3a-99ee-f81625438f4c"
"2021-02-08T07:25:03+01:00","Staking reward","0.30518029","DFI","0.926985130875","USD","","","44300302-e184-4bc8-af70-7a7145211f6a"
"2021-02-08T04:23:14+01:00","Staking reward","0.27334162","DFI","0.82521835078","USD","","","13f15d3b-e8cd-47e8-8006-0494bcf04cf8"
"2021-02-08T01:21:05+01:00","Staking reward","0.29219625","DFI","0.8859828594375","USD","","","294e06f1-f586-49aa-998c-706978c2e012"
"2021-02-07T22:19:14+01:00","Staking reward","0.27825565","DFI","0.846609510464","USD","","","6b098155-1449-44ed-980d-5fc766e676b2"
"2021-02-07T19:17:17+01:00","Staking reward","0.26630213","DFI","0.7908747177592","USD","","","e85a2bc1-1939-4153-bb31-0332acca9020"
"2021-02-07T16:14:58+01:00","Staking reward","0.30700645","DFI","0.937266131334","USD","","","0c1048f7-0da9-416f-8905-7899c7cbd938"
"2021-02-07T13:12:51+01:00","Staking reward","0.29703751","DFI","0.9237866561","USD","","","ecb68f4b-3d8d-49c3-85b2-c58ea20cefb2"
"2021-02-07T10:10:58+01:00","Staking reward","0.27415683","DFI","0.8527072467807","USD","","","3dd1f937-3306-4b5c-9c61-344c117f47d2"
"2021-02-07T07:09:03+01:00","Staking reward","0.29498213","DFI","0.8947781443929","USD","","","9677d762-1857-48da-b0c3-9fd591b456e9"
"2021-02-07T04:07:09+01:00","Staking reward","0.27806943","DFI","0.8428367844129","USD","","","d8291a1d-2bfc-4339-be60-4301c7547c1f"
"2021-02-07T01:05:03+01:00","Staking reward","0.27407069","DFI","0.857430153665","USD","","","dede53eb-3c59-45d4-b3c1-84c8f0eb6b43"
"2021-02-06T22:03:16+01:00","Staking reward","0.28496338","DFI","0.9007179507716","USD","","","9ca3cd6d-f6d1-4ed2-b8cb-aab23078f755"
"2021-02-06T19:01:07+01:00","Staking reward","0.27699068","DFI","0.88733964338","USD","","","7aa46fc2-22f5-42d7-b3b3-131e46607f5d"
"2021-02-06T15:59:22+01:00","Staking reward","0.30177646","DFI","0.9574522101712","USD","","","7c1e9094-2407-4704-90a1-aaf50e062c2a"
"2021-02-06T12:57:20+01:00","Staking reward","0.03871421","DFI","0.1228661268507","USD","","","a1b9a87f-26c7-40aa-be3b-e4d235a9cb05"
"2021-02-06T12:39:56+01:00","Staking reward","0.04268283","DFI","0.1361582277","USD","","","cc9f9327-1f1e-421d-be0c-1b5a3fb5fe9f"
"2021-02-06T11:44:28+01:00","Staking reward","0.28585095","DFI","0.9053499873495","USD","","","4528e35c-b611-4915-a0c4-07d4b450d572"
"2021-02-06T08:37:33+01:00","Staking reward","0.24910186","DFI","0.7665586627594","USD","","","1bef031b-f366-4822-bddf-8332639fb962"
"2021-02-06T05:35:32+01:00","Staking reward","0.27686086","DFI","0.838016294091","USD","","","012ea75a-e241-45f5-ac90-caef7dc3c3ed"
"2021-02-06T02:33:45+01:00","Staking reward","0.2371466","DFI","0.737023175208","USD","","","510d3449-c17f-4dd9-9296-7f10c070c6ed"
"2021-02-05T23:31:45+01:00","Staking reward","0.1379162","DFI","0.415127762","USD","","","fcdf5a39-6bda-4854-8076-e7d4a1dfeb67"
"2021-02-05T20:29:56+01:00","Staking reward","0.15675811","DFI","0.4773989860995","USD","","","9dd99ed8-42d8-4a16-ad37-9b07076ffcb0"
"2021-02-05T15:32:34+01:00","Staking reward","0.2807459","DFI","0.850494436919","USD","","","16f1f3b6-5b25-4c54-bbd5-fe97264df892"
"2021-02-05T12:30:25+01:00","Staking reward","0.28765911","DFI","0.8562978854658","USD","","","8b13f82b-841a-4db0-9345-a295b6825379"
"2021-02-05T09:28:24+01:00","Staking reward","0.27671578","DFI","0.8214335600878","USD","","","a75ab7d0-9e77-4847-885d-43a0d45975e4"
"2021-02-05T06:26:33+01:00","Staking reward","0.27668629","DFI","0.8220930717109","USD","","","b10abfb3-bfdc-4446-9da8-edf0fdb442d1"
"2021-02-05T03:24:20+01:00","Staking reward","0.26178527","DFI","0.7714000372563","USD","","","4711360d-4a99-4b7e-9cb2-763552f8e72a"
"2021-02-05T00:22:37+01:00","Staking reward","0.2835731","DFI","0.856382254807","USD","","","a2e686cd-9596-4258-842f-be297c4429df"
"2021-02-04T21:20:52+01:00","Staking reward","0.28651616","DFI","0.8624136416","USD","","","7668420e-4614-497b-80d8-68891fbdd2e3"
"2021-02-04T18:19:01+01:00","Staking reward","0.29144048","DFI","0.8499482726576","USD","","","722325e5-9c24-4509-bd33-29f9f55b77ac"
"2021-02-04T15:17:12+01:00","Staking reward","0.29537205","DFI","0.8831624295","USD","","","aa6a5da5-9577-42e1-a05b-b6b279847cc2"
"2021-02-04T12:15:26+01:00","Staking reward","0.30425753","DFI","0.9135301912497","USD","","","710d284c-8246-41a8-8779-de59f8d4ead2"
"2021-02-04T09:13:38+01:00","Staking reward","0.28638309","DFI","0.8591063125365","USD","","","983c39d0-4e9b-49b5-901e-834f870457ab"
"2021-02-04T06:11:30+01:00","Staking reward","0.28635107","DFI","0.8460156457829","USD","","","6520358f-3fcf-4803-a362-232049cef71d"
"2021-02-04T03:09:36+01:00","Staking reward","0.04161438","DFI","0.12534251256","USD","","","b0e989b7-88f2-40ec-ad74-65b6b7c36448"
"2021-02-04T02:48:38+01:00","Staking reward","0.28433647","DFI","0.8504390083112","USD","","","26476189-b3ac-4331-873c-caae21e8f71b"
"2021-02-03T23:47:03+01:00","Staking reward","0.28034593","DFI","0.8270204935","USD","","","ade512a9-db26-4870-b102-020c74d3e367"
"2021-02-03T20:45:16+01:00","Staking reward","0.29021987","DFI","0.8415128284559","USD","","","10b10a30-0fc8-4c1f-8e67-7fdeca2194f2"
"2021-02-03T17:43:27+01:00","Staking reward","0.3486113","DFI","1.000514431","USD","","","eea3fbe8-cf91-4f5b-b67b-a88d59076df1"
"2021-02-03T14:11:48+01:00","Staking reward","0.25549237","DFI","0.7154399541688","USD","","","f9a9e443-2fa2-4bf1-a1ed-349265509b7c"
"2021-02-03T11:09:12+01:00","Staking reward","0.29704962","DFI","0.8248949127552","USD","","","ce5624e0-c4e2-4e85-a2f5-d41f11f16d3c"
"2021-02-03T08:07:27+01:00","Staking reward","0.0633687","DFI","0.175755624198","USD","","","cc58aaa1-930e-4732-99e4-4470bbbe96fa"
"2021-02-03T07:25:10+01:00","Staking reward","0.30393511","DFI","0.8335785113882","USD","","","4f7740bb-9d21-4046-9e33-aec8bfec0804"
"2021-02-03T04:23:07+01:00","Staking reward","0.29499202","DFI","0.8189302966422","USD","","","b58031b5-54f8-4506-a0b0-0038c1720d54"
"2021-02-03T01:21:29+01:00","Staking reward","0.29496324","DFI","0.808361507382","USD","","","04ac1379-955f-4439-bfca-dc6d87d63da5"
"2021-02-02T22:19:43+01:00","Staking reward","0.28899289","DFI","0.79039555415","USD","","","0614f327-3849-4346-bf87-cbe2da629056"
"2021-02-02T19:18:00+01:00","Staking reward","0.29588749","DFI","0.7956325839853","USD","","","249db998-441e-4c60-bb4a-f441dd61f175"
"2021-02-02T16:16:16+01:00","Staking reward","0.2879408","DFI","0.76472757368","USD","","","c462b7d4-59c8-4715-ad05-d89029327673"
